NDC Description,NDC,NADAC Per Unit,Effective Date,Pricing Unit,Pharmacy Type Indicator,OTC,Explanation Code,Classification for Rate Setting,Corresponding Generic Drug NADAC Per Unit,Corresponding Generic Drug Effective Date,As of Date
ADDERALL 30 MG TABLET,57844013001,10.26796,12/18/2024,EA,C/I,N,"1, 6",B-ANDA,0.29474,12/18/2024,01/01/2025
ADDERALL 5 MG TABLET,57844010501,10.24248,12/18/2024,EA,C/I,N,"1, 6",B-ANDA,0.22902,12/18/2024,01/01/2025
ADDERALL XR 10 MG CAPSULE,54092038301,6.83589,12/18/2024,EA,C/I,N,1,B,0.60837,12/18/2024,01/01/2025
ADDERALL XR 15 MG CAPSULE,54092038501,6.83822,12/18/2024,EA,C/I,N,1,B,0.65046,12/18/2024,01/01/2025
ADDERALL XR 20 MG CAPSULE,54092038701,6.83467,12/18/2024,EA,C/I,N,1,B,0.61752,12/18/2024,01/01/2025
ADDERALL XR 25 MG CAPSULE,54092038901,6.83863,12/18/2024,EA,C/I,N,1,B,0.69015,12/18/2024,01/01/2025
ADDERALL XR 30 MG CAPSULE,54092039101,6.83555,12/18/2024,EA,C/I,N,1,B,0.59149,12/18/2024,01/01/2025
ADDERALL XR 5 MG CAPSULE,54092038101,6.82448,12/18/2024,EA,C/I,N,1,B,0.60155,12/18/2024,01/01/2025
ADIPEX-P 37.5 MG TABLET,57844014001,2.48403,12/18/2024,EA,C/I,N,"1, 6",B-ANDA,0.05964,12/18/2024,01/01/2025
ADIPEX-P 37.5 MG TABLET,57844014056,2.48403,12/18/2024,EA,C/I,N,"1, 6",B-ANDA,0.05964,12/18/2024,01/01/2025
ADVAIR 100-50 DISKUS,173069500,2.49423,12/18/2024,EA,C/I,N,"1, 5",B,1.05611,12/18/2024,01/01/2025
ADVAIR 250-50 DISKUS,173069600,3.13042,12/18/2024,EA,C/I,N,"1, 5",B,1.3164,12/18/2024,01/01/2025
ADVAIR 500-50 DISKUS,173069700,4.23964,12/18/2024,EA,C/I,N,"1, 5",B,1.77998,12/18/2024,01/01/2025
ADVAIR HFA 115-21 MCG INHALER,173071620,25.49203,12/18/2024,GM,C/I,N,"1, 5",B,19.87711,12/18/2024,01/01/2025
ADVAIR HFA 230-21 MCG INHALER,173071720,35.13266,12/18/2024,GM,C/I,N,"1, 5",B,26.33305,12/18/2024,01/01/2025
ADVAIR HFA 45-21 MCG INHALER,173071520,20.02869,12/18/2024,GM,C/I,N,"1, 5",B,16.24018,12/18/2024,01/01/2025
AIRDUO RESPICLICK 113-14 MCG,59310081206,386.17,12/18/2024,EA,C/I,N,"1, 5",B,103.01582,12/18/2024,01/01/2025
AIRDUO RESPICLICK 232-14 MCG,59310082206,386.34826,12/18/2024,EA,C/I,N,"1, 5",B,103.58196,12/18/2024,01/01/2025
ALPHAGAN P 0.1% DROPS,23932105,37.33952,12/18/2024,ML,C/I,N,"1, 5",B,13.87875,12/18/2024,01/01/2025
ALPHAGAN P 0.1% DROPS,23932110,37.34186,12/18/2024,ML,C/I,N,"1, 5",B,18.48293,12/18/2024,01/01/2025
ALPHAGAN P 0.1% DROPS,23932115,37.35525,12/18/2024,ML,C/I,N,"1, 5",B,15.91214,12/18/2024,01/01/2025
ALPHAGAN P 0.15% EYE DROPS,23917705,39.85344,12/18/2024,ML,C/I,N,"1, 5",B,13.25222,12/18/2024,01/01/2025
ALPHAGAN P 0.15% EYE DROPS,23917710,39.8681,12/18/2024,ML,C/I,N,"1, 5",B,12.55819,12/18/2024,01/01/2025
ALPHAGAN P 0.15% EYE DROPS,23917715,40.01076,12/18/2024,ML,C/I,N,"1, 5",B,13.30723,12/18/2024,01/01/2025
ALREX 0.2% EYE DROPS,24208035305,57.34771,12/18/2024,ML,C/I,N,"1, 5",B,35.57456,12/18/2024,01/01/2025
ALTACE 10 MG CAPSULE,61570012001,7.43033,12/18/2024,EA,C/I,N,1,B,0.05844,12/18/2024,01/01/2025
AMBIEN 10 MG TABLET,24542131,20.57363,12/18/2024,EA,C/I,N,1,B,0.03146,12/18/2024,01/01/2025
AMBIEN 5 MG TABLET,24540131,20.65084,10/23/2024,EA,C/I,N,4,B,0.02915,12/18/2024,01/01/2025
AMBIEN CR 12.5 MG TABLET,24552131,20.64203,12/18/2024,EA,C/I,N,1,B,0.109,12/18/2024,01/01/2025
AMBIEN CR 6.25 MG TABLET,24550131,20.67068,12/18/2024,EA,C/I,N,1,B,0.1194,12/18/2024,01/01/2025
AMITIZA 24 MCG CAPSULE,64764024060,5.93867,12/18/2024,EA,C/I,N,1,B,0.79966,12/11/2024,01/01/2025
AMITIZA 24 MCG CAPSULE,23635052460,6.44166,12/18/2024,EA,C/I,N,1,B,0.79966,12/11/2024,01/01/2025
AMITIZA 8 MCG CAPSULE,64764008060,5.93745,12/18/2024,EA,C/I,N,1,B,0.6902,12/18/2024,01/01/2025
AMITIZA 8 MCG CAPSULE,23635050860,6.42367,12/18/2024,EA,C/I,N,1,B,0.6902,12/18/2024,01/01/2025
AMRIX ER 15 MG CAPSULE,63459070060,55.34022,01/01/2024,EA,C/I,N,4,B,1.96902,12/18/2024,01/01/2025
AMRIX ER 30 MG CAPSULE,63459070160,55.61973,01/01/2024,EA,C/I,N,4,B,2.76169,12/18/2024,01/01/2025
ANDROGEL 1.62% GEL PUMP,51846233,7.90527,05/22/2024,GM,C/I,N,"4, 5",B,0.43299,12/18/2024,01/01/2025
APRISO ER 0.375 GRAM CAPSULE,65649010302,4.0758,12/18/2024,EA,C/I,N,1,B,0.48583,12/18/2024,01/01/2025
APTENSIO XR 10 MG CAPSULE,42858040145,8.0066,12/18/2024,EA,C/I,N,1,B,3.19297,12/18/2024,01/01/2025
APTENSIO XR 15 MG CAPSULE,42858040245,7.98926,12/18/2024,EA,C/I,N,1,B,2.62363,12/18/2024,01/01/2025
APTENSIO XR 20 MG CAPSULE,42858040345,7.98311,12/18/2024,EA,C/I,N,1,B,5.9068,05/22/2024,01/01/2025
APTENSIO XR 30 MG CAPSULE,42858040445,8.00472,12/18/2024,EA,C/I,N,1,B,3.01809,12/18/2024,01/01/2025
APTENSIO XR 40 MG CAPSULE,42858040545,7.98469,12/18/2024,EA,C/I,N,1,B,4.22913,12/18/2024,01/01/2025
APTENSIO XR 50 MG CAPSULE,42858040645,7.97444,12/18/2024,EA,C/I,N,1,B,4.62637,12/18/2024,01/01/2025
APTENSIO XR 60 MG CAPSULE,42858040745,8.03165,12/18/2024,EA,C/I,N,1,B,4.7702,12/18/2024,01/01/2025
ARICEPT 10 MG TABLET,62856024630,16.19693,12/18/2024,EA,C/I,N,1,B,0.0489,12/18/2024,01/01/2025
ARICEPT 23 MG TABLET,62856024730,14.3864,12/18/2024,EA,C/I,N,1,B,0.72153,12/18/2024,01/01/2025
ARIMIDEX 1 MG TABLET,62559067030,51.78367,12/18/2024,EA,C/I,N,1,B,0.13683,12/18/2024,01/01/2025
AROMASIN 25 MG TABLET,9766304,36.6728,09/18/2024,EA,C/I,N,4,B,0.67286,12/18/2024,01/01/2025
ARTHROTEC 75 MG-200 MCG TAB,25142160,8.3557,12/18/2024,EA,C/I,N,1,B,0.91317,12/18/2024,01/01/2025
ATACAND 16 MG TABLET,62559064230,7.80453,12/18/2024,EA,C/I,N,1,B,0.48163,12/18/2024,01/01/2025
ATACAND 16 MG TABLET,62559064290,7.80453,12/18/2024,EA,C/I,N,1,B,0.48163,12/18/2024,01/01/2025
ATACAND 32 MG TABLET,62559064330,9.84967,12/18/2024,EA,C/I,N,1,B,0.74829,12/18/2024,01/01/2025
ATACAND 32 MG TABLET,62559064390,9.84967,12/18/2024,EA,C/I,N,1,B,0.74829,12/18/2024,01/01/2025
ATACAND 8 MG TABLET,62559064130,7.1506,06/19/2024,EA,C/I,N,4,B,0.60395,12/18/2024,01/01/2025
ATIVAN 0.5 MG TABLET,187006301,32.81142,12/18/2024,EA,C/I,N,1,B,0.03769,12/18/2024,01/01/2025
ATIVAN 1 MG TABLET,187006401,44.00775,12/18/2024,EA,C/I,N,1,B,0.04211,12/18/2024,01/01/2025
ATIVAN 1 MG TABLET,187006410,44.00775,12/18/2024,EA,C/I,N,1,B,0.04211,12/18/2024,01/01/2025
ATIVAN 2 MG TABLET,187006501,70.33355,12/18/2024,EA,C/I,N,1,B,0.06256,12/18/2024,01/01/2025
AVALIDE 300-12.5 MG TABLET,24585630,9.71247,08/21/2024,EA,C/I,N,4,B,0.19627,12/18/2024,01/01/2025
AVAPRO 150 MG TABLET,24585130,7.351,12/18/2024,EA,C/I,N,1,B,0.11006,12/18/2024,01/01/2025
AVAPRO 300 MG TABLET,24585230,8.8247,12/18/2024,EA,C/I,N,1,B,0.17447,12/18/2024,01/01/2025
AVAPRO 75 MG TABLET,24585090,6.98798,12/18/2024,EA,C/I,N,1,B,0.11182,12/18/2024,01/01/2025
AZILECT 0.5 MG TABLET,68546014256,36.8023,01/01/2024,EA,C/I,N,4,B,1.0326,12/18/2024,01/01/2025
AZILECT 1 MG TABLET,68546022956,36.8308,12/18/2024,EA,C/I,N,1,B,1.10579,12/18/2024,01/01/2025
AZOPT 1% EYE DROPS,78072210,35.14951,10/23/2024,ML,C/I,N,"4, 5",B,13.67547,12/18/2024,01/01/2025
AZOPT 1% EYE DROPS,66758008570,35.14951,12/11/2024,ML,C/I,N,"4, 5",B,13.67547,12/18/2024,01/01/2025
AZOPT 1% EYE DROPS,78072215,35.30788,12/18/2024,ML,C/I,N,"1, 5",B,12.97154,12/18/2024,01/01/2025
AZOR 10-40 MG TABLET,713087330,16.19013,09/20/2024,EA,C/I,N,4,B,0.32532,12/18/2024,01/01/2025
AZOR 10-40 MG TABLET,65597011330,16.19013,09/20/2024,EA,C/I,N,4,B,0.32532,12/18/2024,01/01/2025
AZOR 5-20 MG TABLET,713087030,12.86688,09/20/2024,EA,C/I,N,4,B,0.28599,12/18/2024,01/01/2025
AZOR 5-20 MG TABLET,65597011030,12.86688,09/20/2024,EA,C/I,N,4,B,0.28599,12/18/2024,01/01/2025
BALCOLTRA TABLET,75854060203,9.73518,01/01/2025,EA,C/I,N,3,B,5.34875,12/18/2024,01/01/2025
BALCOLTRA TABLET,75854060228,9.73518,01/01/2025,EA,C/I,N,3,B,5.34875,12/18/2024,01/01/2025
BANZEL 200 MG TABLET,62856058252,12.61544,12/18/2024,EA,C/I,N,1,B,1.5778,12/18/2024,01/01/2025
BANZEL 40 MG/ML SUSPENSION,62856058446,3.6549,12/18/2024,ML,C/I,N,"1, 5",B,0.38871,12/18/2024,01/01/2025
BANZEL 400 MG TABLET,62856058352,25.30709,12/18/2024,EA,C/I,N,1,B,1.92311,12/18/2024,01/01/2025
BARACLUDE 0.5 MG TABLET,3161112,44.08975,12/18/2024,EA,C/I,N,1,B,0.28966,12/18/2024,01/01/2025
BENICAR 20 MG TABLET,713086130,10.26652,09/20/2024,EA,C/I,N,2,B,0.08267,12/18/2024,01/01/2025
BENICAR 40 MG TABLET,713086230,14.26993,09/20/2024,EA,C/I,N,2,B,0.12121,12/18/2024,01/01/2025
BENICAR 5 MG TABLET,713086030,8.43345,09/20/2024,EA,C/I,N,4,B,0.06954,12/18/2024,01/01/2025
BENICAR HCT 20-12.5 MG TABLET,713086330,10.27535,09/20/2024,EA,C/I,N,2,B,0.17163,12/18/2024,01/01/2025
BENICAR HCT 40-12.5 MG TABLET,713086430,14.30726,09/20/2024,EA,C/I,N,4,B,0.2156,12/18/2024,01/01/2025
BENICAR HCT 40-25 MG TABLET,713086530,14.28965,09/20/2024,EA,C/I,N,2,B,0.2092,12/18/2024,01/01/2025
BENZAMYCIN GEL,187520546,1.29206,12/18/2024,GM,C/I,N,"1, 5",B,0.85009,12/18/2024,01/01/2025
BEPREVE 1.5% EYE DROPS,24208062901,53.01536,12/18/2024,ML,C/I,N,"1, 5",B,16.47738,12/18/2024,01/01/2025
BEPREVE 1.5% EYE DROPS,24208062902,55.18396,12/18/2024,ML,C/I,N,"1, 5",B,21.3105,12/18/2024,01/01/2025
BETADINE 10% SOLUTION,67618015009,0.01293,12/18/2024,ML,C/I,Y,"1, 5, 6",B,0.01876,12/18/2024,01/01/2025
BEYAZ 28 TABLET,50419040701,8.35694,12/18/2024,EA,C/I,N,1,B,1.48402,12/18/2024,01/01/2025
BEYAZ 28 TABLET,50419040703,8.35694,12/18/2024,EA,C/I,N,1,B,1.48402,12/18/2024,01/01/2025
BIDIL 20 MG-37.5 MG TABLET,24338001009,4.38141,12/18/2024,EA,C/I,N,1,B,0.97511,12/18/2024,01/01/2025
BIDIL 20 MG-37.5 MG TABLET,24338001018,4.38141,12/18/2024,EA,C/I,N,1,B,0.97511,12/18/2024,01/01/2025
BREO ELLIPTA 100-25 MCG INHALR,173085910,6.51225,12/18/2024,EA,C/I,N,"1, 5",B,3.75244,12/18/2024,01/01/2025
BREO ELLIPTA 200-25 MCG INHALR,173088210,6.5117,12/18/2024,EA,C/I,N,"1, 5",B,3.70584,12/18/2024,01/01/2025
BROMSITE 0.075% EYE DROPS,49708075441,49.68333,12/18/2024,ML,C/I,N,"1, 5",B,19.75793,12/18/2024,01/01/2025
BROVANA 15 MCG/2 ML SOLUTION,27437005560,9.72706,09/01/2024,ML,C/I,N,"2, 5",B,0.84966,12/18/2024,01/01/2025
BROVANA 15 MCG/2 ML SOLUTION,27437006060,9.72706,09/11/2024,ML,C/I,N,"2, 5",B,0.84966,12/18/2024,01/01/2025
BROVANA 15 MCG/2 ML SOLUTION,63402091164,9.72706,09/01/2024,ML,C/I,N,"2, 5",B,0.84966,12/18/2024,01/01/2025
BROVANA 15 MCG/2 ML SOLUTION,27437005530,9.7506,09/01/2024,ML,C/I,N,"4, 5",B,0.69153,12/18/2024,01/01/2025
BROVANA 15 MCG/2 ML SOLUTION,27437006030,9.7506,09/11/2024,ML,C/I,N,"4, 5",B,0.69153,12/18/2024,01/01/2025
BROVANA 15 MCG/2 ML SOLUTION,63402091130,9.7506,09/01/2024,ML,C/I,N,"4, 5",B,0.69153,12/18/2024,01/01/2025
BUTRANS 10 MCG/HR PATCH,59011075104,73.85298,12/18/2024,EA,C/I,N,1,B,28.83704,12/18/2024,01/01/2025
BUTRANS 15 MCG/HR PATCH,59011075804,124.96982,12/18/2024,EA,C/I,N,1,B,48.42426,12/18/2024,01/01/2025
BUTRANS 20 MCG/HR PATCH,59011075204,131.36722,12/18/2024,EA,C/I,N,1,B,52.18359,12/18/2024,01/01/2025
BUTRANS 5 MCG/HR PATCH,59011075004,49.00753,12/18/2024,EA,C/I,N,1,B,20.7392,12/18/2024,01/01/2025
BUTRANS 7.5 MCG/HR PATCH,59011075704,68.85025,12/18/2024,EA,C/I,N,1,B,26.89961,12/18/2024,01/01/2025
BYSTOLIC 10 MG TABLET,456141090,5.83983,12/18/2024,EA,C/I,N,1,B,0.13394,12/18/2024,01/01/2025
BYSTOLIC 2.5 MG TABLET,456140230,5.86061,12/18/2024,EA,C/I,N,1,B,0.10297,12/18/2024,01/01/2025
BYSTOLIC 20 MG TABLET,456142090,5.8428,12/18/2024,EA,C/I,N,1,B,0.16933,12/18/2024,01/01/2025
BYSTOLIC 5 MG TABLET,456140590,5.84709,12/18/2024,EA,C/I,N,1,B,0.10259,12/18/2024,01/01/2025
"CANASA 1,000 MG SUPPOSITORY",58914050156,37.15405,12/18/2024,EA,C/I,N,1,B,1.49775,12/18/2024,01/01/2025
CARAFATE 1 GM TABLET,58914017110,4.7594,12/18/2024,EA,C/I,N,1,B,0.16521,12/18/2024,01/01/2025
CARAFATE 1 GM/10 ML SUSP,58914017014,0.60952,12/18/2024,ML,C/I,N,"1, 5",B,0.24256,12/18/2024,01/01/2025
CARBATROL ER 100 MG CAPSULE,54092017112,1.70364,12/18/2024,EA,C/I,N,1,B,0.96479,12/18/2024,01/01/2025
CARBATROL ER 200 MG CAPSULE,54092017212,1.69822,12/18/2024,EA,C/I,N,1,B,0.90779,12/18/2024,01/01/2025
CARBATROL ER 300 MG CAPSULE,54092017312,1.69623,12/18/2024,EA,C/I,N,1,B,0.937,12/18/2024,01/01/2025
CARDIZEM CD 240 MG CAPSULE,187079730,46.66267,12/18/2024,EA,C/I,N,1,B,0.21725,12/18/2024,01/01/2025
CARDIZEM CD 240 MG CAPSULE,187079742,46.66267,12/18/2024,EA,C/I,N,1,B,0.21725,12/18/2024,01/01/2025
CARDIZEM LA 120 MG TABLET,187204530,3.65828,12/18/2024,EA,C/I,N,1,B,1.11006,12/18/2024,01/01/2025
CARDIZEM LA 120 MG TABLET,187204590,3.65828,12/18/2024,EA,C/I,N,1,B,1.11006,12/18/2024,01/01/2025
CARDIZEM LA 180 MG TABLET,187204630,3.8314,05/22/2024,EA,C/I,N,4,B,1.33962,12/18/2024,01/01/2025
CARDIZEM LA 180 MG TABLET,187204690,3.8314,05/22/2024,EA,C/I,N,4,B,1.33962,12/18/2024,01/01/2025
CARDIZEM LA 240 MG TABLET,187204730,4.34239,12/18/2024,EA,C/I,N,1,B,1.72111,12/18/2024,01/01/2025
CARDIZEM LA 240 MG TABLET,187204790,4.34239,12/18/2024,EA,C/I,N,1,B,1.72111,12/18/2024,01/01/2025
CARNITOR 1 GM/10 ML ORAL SOLN,54482014509,0.33971,01/01/2025,ML,C/I,N,"3, 5",B,0.13739,12/18/2024,01/01/2025
CARNITOR 100 MG/ML ORAL SOLN,54482014508,0.33971,01/01/2025,ML,C/I,N,"3, 5",B,0.13739,12/18/2024,01/01/2025
CARNITOR 330 MG TABLET,54482014407,1.19494,01/01/2025,EA,C/I,N,3,B,0.68958,12/18/2024,01/01/2025
CARNITOR SF 100 MG/ML ORAL SOL,54482014801,0.41209,01/01/2025,ML,C/I,N,"3, 5",B,0.22424,12/18/2024,01/01/2025
CAROSPIR 25 MG/5 ML SUSPENSION,46287002004,3.52898,12/18/2024,ML,C/I,N,"1, 5",B,2.07253,12/18/2024,01/01/2025
CELEBREX 100 MG CAPSULE,25152031,9.56806,09/18/2024,EA,C/I,N,2,B,0.06829,12/18/2024,01/01/2025
CELEBREX 100 MG CAPSULE,25152034,9.56806,09/18/2024,EA,C/I,N,2,B,0.06829,12/18/2024,01/01/2025
CELEBREX 100 MG CAPSULE,25152051,9.56806,09/18/2024,EA,C/I,N,2,B,0.06829,12/18/2024,01/01/2025
CELEBREX 100 MG CAPSULE,58151008301,9.56806,11/06/2024,EA,C/I,N,2,B,0.06829,12/18/2024,01/01/2025
CELEBREX 100 MG CAPSULE,58151008305,9.56806,12/11/2024,EA,C/I,N,2,B,0.06829,12/18/2024,01/01/2025
CELEBREX 100 MG CAPSULE,58151008332,9.56806,12/11/2024,EA,C/I,N,2,B,0.06829,12/18/2024,01/01/2025
CELEBREX 100 MG CAPSULE,58151008388,9.56806,12/11/2024,EA,C/I,N,2,B,0.06829,12/18/2024,01/01/2025
CELEBREX 200 MG CAPSULE,25152531,15.73572,12/18/2024,EA,C/I,N,1,B,0.08533,12/18/2024,01/01/2025
CELEBREX 200 MG CAPSULE,25152534,15.73572,12/18/2024,EA,C/I,N,1,B,0.08533,12/18/2024,01/01/2025
CELEBREX 200 MG CAPSULE,25152551,15.73572,12/18/2024,EA,C/I,N,1,B,0.08533,12/18/2024,01/01/2025
CELEBREX 200 MG CAPSULE,58151008401,15.73572,12/18/2024,EA,C/I,N,1,B,0.08533,12/18/2024,01/01/2025
CELEBREX 200 MG CAPSULE,58151008405,15.73572,12/18/2024,EA,C/I,N,1,B,0.08533,12/18/2024,01/01/2025
CELEBREX 200 MG CAPSULE,58151008488,15.73572,12/18/2024,EA,C/I,N,1,B,0.08533,12/18/2024,01/01/2025
CELEBREX 50 MG CAPSULE,58151008291,4.45396,12/18/2024,EA,C/I,N,1,B,0.06463,12/18/2024,01/01/2025
CELESTONE SOLUSPAN 30 MG/5 ML,78206011801,8.32359,01/01/2025,ML,C/I,N,"3, 5",B,8.65089,12/18/2024,01/01/2025
CELEXA 20 MG TABLET,456402001,9.06265,12/18/2024,EA,C/I,N,1,B,0.02718,12/18/2024,01/01/2025
CELEXA 40 MG TABLET,456404001,9.49115,12/18/2024,EA,C/I,N,1,B,0.04004,12/18/2024,01/01/2025
CELLCEPT 200 MG/ML ORAL SUSP,4026129,8.31444,12/18/2024,ML,C/I,N,"1, 5",B,1.68188,12/18/2024,01/01/2025
CELLCEPT 250 MG CAPSULE,4025901,8.68412,12/18/2024,EA,C/I,N,1,B,0.15019,12/18/2024,01/01/2025
CELLCEPT 250 MG CAPSULE,4025943,8.68412,12/18/2024,EA,C/I,N,1,B,0.15019,12/18/2024,01/01/2025
CELLCEPT 500 MG TABLET,4026001,17.32893,12/18/2024,EA,C/I,N,1,B,0.25323,12/18/2024,01/01/2025
CELLCEPT 500 MG TABLET,4026043,17.32893,12/18/2024,EA,C/I,N,1,B,0.25323,12/18/2024,01/01/2025
CIALIS 20 MG TABLET,2446430,54.23331,12/18/2024,EA,C/I,N,1,B,0.20171,12/18/2024,01/01/2025
CIALIS 5 MG TABLET,2446230,9.23975,12/18/2024,EA,C/I,N,1,B,0.10029,12/18/2024,01/01/2025
CLARINEX 5 MG TABLET,78206018801,8.46098,01/01/2025,EA,C/I,N,3,B,0.28094,12/18/2024,01/01/2025
CLEOCIN 2% VAGINAL CREAM,9344801,1.73805,12/18/2024,GM,C/I,N,"1, 5",B,1.3124,12/18/2024,01/01/2025
CLEOCIN T 1% LOTION,9332901,0.76406,07/17/2024,ML,C/I,N,"4, 5",B,0.29193,12/18/2024,01/01/2025
CLIMARA 0.025 MG/DAY PATCH,50419045401,18.26088,12/18/2024,EA,C/I,N,1,B,11.24522,12/18/2024,01/01/2025
CLIMARA 0.025 MG/DAY PATCH,50419045404,18.26088,12/18/2024,EA,C/I,N,1,B,11.24522,12/18/2024,01/01/2025
CLIMARA 0.0375 MG/DAY PATCH,50419045601,18.33071,12/18/2024,EA,C/I,N,1,B,10.37819,12/18/2024,01/01/2025
CLIMARA 0.0375 MG/DAY PATCH,50419045604,18.33071,12/18/2024,EA,C/I,N,1,B,10.37819,12/18/2024,01/01/2025
CLIMARA 0.05 MG/DAY PATCH,50419045101,18.30225,12/18/2024,EA,C/I,N,1,B,10.74964,12/18/2024,01/01/2025
CLIMARA 0.05 MG/DAY PATCH,50419045104,18.30225,12/18/2024,EA,C/I,N,1,B,10.74964,12/18/2024,01/01/2025
CLIMARA 0.06 MG/DAY PATCH,50419045901,18.2725,12/18/2024,EA,C/I,N,1,B,10.62325,12/18/2024,01/01/2025
CLIMARA 0.06 MG/DAY PATCH,50419045904,18.2725,12/18/2024,EA,C/I,N,1,B,10.62325,12/18/2024,01/01/2025
CLIMARA 0.075 MG/DAY PATCH,50419045301,18.35,12/18/2024,EA,C/I,N,1,B,11.75448,12/18/2024,01/01/2025
CLIMARA 0.075 MG/DAY PATCH,50419045304,18.35,12/18/2024,EA,C/I,N,1,B,11.75448,12/18/2024,01/01/2025
CLIMARA 0.1 MG/DAY PATCH,50419045201,18.32732,12/18/2024,EA,C/I,N,1,B,11.00223,12/18/2024,01/01/2025
CLIMARA 0.1 MG/DAY PATCH,50419045204,18.32732,12/18/2024,EA,C/I,N,1,B,11.00223,12/18/2024,01/01/2025
CLINDAGEL 1% GEL,16781046275,22.40864,06/19/2024,ML,C/I,N,"4, 5",B,5.54101,12/18/2024,01/01/2025
CLOZARIL 100 MG TABLET,69809012705,15.67808,12/18/2024,EA,C/I,N,1,B,0.56188,12/18/2024,01/01/2025
CLOZARIL 25 MG TABLET,69809012605,6.10525,06/01/2024,EA,C/I,N,4,B,0.264,12/18/2024,01/01/2025
COLACE 100 MG CAPSULE,67618010101,0.30358,12/18/2024,EA,C/I,Y,"1, 6",B,0.02473,12/18/2024,01/01/2025
COLACE 100 MG CAPSULE,67618010130,0.30358,12/18/2024,EA,C/I,Y,"1, 6",B,0.02473,12/18/2024,01/01/2025
COLACE 100 MG CAPSULE,67618010152,0.30358,12/18/2024,EA,C/I,Y,"1, 6",B,0.02473,12/18/2024,01/01/2025
COLACE 100 MG CAPSULE,67618010160,0.30358,12/18/2024,EA,C/I,Y,"1, 6",B,0.02473,12/18/2024,01/01/2025
COLACE 2-IN-1 TABLET,67618011010,0.40804,12/18/2024,EA,C/I,Y,"1, 6",B,0.02824,12/18/2024,01/01/2025
COLACE 2-IN-1 TABLET,67618011030,0.40804,12/18/2024,EA,C/I,Y,"1, 6",B,0.02824,12/18/2024,01/01/2025
COLACE 2-IN-1 TABLET,67618011060,0.40804,12/18/2024,EA,C/I,Y,"1, 6",B,0.02824,12/18/2024,01/01/2025
COLACE-T 100 MG CAPSULE,67618010110,0.30358,12/18/2024,EA,C/I,Y,"1, 6",B,0.02473,12/18/2024,01/01/2025
COLCRYS 0.6 MG TABLET,64764011901,6.90257,12/18/2024,EA,C/I,N,1,B,0.19012,12/18/2024,01/01/2025
